# thres	dev	spec	spec_err	nullsp	excess
76	-1.5	1.4814909454982497	0.050834106915254	1.946623688907089	0.46513274340883926
81	-1.4	1.5133168569816962	0.051236904367576934	1.96053991262833	0.4472230556466339
85	-1.3	1.540681326803835	0.0504938193763546	1.9719723982330317	0.43129107142919665
90	-1.2	1.5711711371928871	0.05060419840440781	1.9839051559916936	0.41273401879880645
94	-1.1	1.5942372639903826	0.050229358807109444	1.9932406594326053	0.39900339544222274
99	-1.0	1.6240201527301183	0.05014148859564094	2.003657949643982	0.3796377969138638
104	-0.9	1.6486767704926573	0.050543352738475045	2.013536290288555	0.3648595197958979
108	-0.8	1.6689157476010927	0.05105139444422723	2.021411137038022	0.35249538943692915
113	-0.7	1.6982062710615438	0.05071758355046428	2.0301471856693833	0.3319409146078396
117	-0.6	1.7180748310942595	0.05063421581516291	2.036587306366251	0.31851247527199145
122	-0.5	1.745448068480746	0.04990004982270222	2.0437574835008596	0.29830941502011354
127	-0.3999999999999999	1.7640341555276784	0.04972274120002063	2.049827127384786	0.2857929718571075
131	-0.30000000000000004	1.778707646497815	0.049423928211347445	2.053980982282955	0.27527333578514
136	-0.19999999999999996	1.7956905319043557	0.04959932836401443	2.058331008145827	0.26264047624147135
140	-0.10000000000000009	1.8091762122968251	0.04906974034278485	2.0611170267748555	0.2519408144780304
145	0.0	1.8267754881079983	0.04789001780793868	2.064009938424499	0.2372344503165007
150	0.10000000000000009	1.8359517482888443	0.04716469545448946	2.065936814899913	0.22998506661106877
154	0.19999999999999996	1.8419835290352093	0.04680320109517234	2.066563259605799	0.22457973057058966
159	0.30000000000000004	1.8451439160746785	0.046444709794805604	2.0661122515731942	0.2209683354985157
163	0.3999999999999999	1.844128033200423	0.046079863911777784	2.0647711163788576	0.2206430831784345
168	0.5	1.840510110851158	0.0457160495420242	2.061584869327597	0.22107475847643898
173	0.6000000000000001	1.8328816881361305	0.04540606618082739	2.0568338989987294	0.22395221086259887
177	0.7000000000000002	1.823345428571483	0.04530516944192627	2.0510754979818744	0.22773006941039142
182	0.7999999999999998	1.7998112578550103	0.045421794699649125	2.0406218154010918	0.2408105575460815
186	0.8999999999999999	1.7791702502431461	0.046204797306369325	2.02902417446126	0.2498539242181137
191	1.0	1.7423412167003245	0.047326324950826185	2.0080765070397666	0.2657352903394421
196	1.1	1.6947393986855614	0.04979240988153515	1.9786283910458946	0.28388899236033316
200	1.2000000000000002	1.6422715030274744	0.051706688678014236	1.9469301139210284	0.30465861089355406
205	1.2999999999999998	1.565013321016695	0.05472306505841841	1.8907758593646038	0.3257625383479088
209	1.4	1.4829367269786373	0.05610880670329402	1.8289610239005747	0.34602429692193737
214	1.5	1.374918864668621	0.05730798499983044	1.7232137131451972	0.3482948484765762
