# thres	dev	spec	spec_err	nullsp	excess
36	-1.5	1.2281900707150455	0.05034526856199816	1.8652670457167333	0.6370769750016878
42	-1.4	1.3229171082460243	0.0535476466584213	1.9117333362923217	0.5888162280462974
49	-1.3	1.33383626677502	0.054289762870566256	1.9553099419646902	0.6214736751896701
55	-1.2	1.3561277304567332	0.06105792583880164	1.9795002250953821	0.623372494638649
62	-1.1	1.3708174408104932	0.0660348312384029	1.998650684910915	0.6278332441004217
68	-1.0	1.3904709740577061	0.0690265111278329	2.0131317133519135	0.6226607392942074
74	-0.9	1.412525051839565	0.06988937886595104	2.0225396106584905	0.6100145588189256
81	-0.8	1.4382151074766707	0.07181549785586724	2.0306015601661365	0.5923864526894658
87	-0.7	1.4530630984785722	0.0718791739686372	2.0384939660983785	0.5854308676198063
94	-0.6	1.493726992434965	0.0717070362079103	2.046040264518705	0.5523132720837398
100	-0.5	1.5115207241357111	0.07288705786133734	2.051715594543443	0.540194870407732
106	-0.3999999999999999	1.5406401472182865	0.07351459078942475	2.057431216442752	0.5167910692244655
113	-0.30000000000000004	1.5589800611468967	0.07327191699617638	2.061858236247017	0.5028781751001203
119	-0.19999999999999996	1.5651708325961593	0.07443598808841945	2.065507100326718	0.5003362677305585
126	-0.10000000000000009	1.5693334977498263	0.07459716297394506	2.067932831750538	0.49859933400071177
132	0.0	1.5801342008625063	0.07608145868214986	2.069628623020301	0.4894944221577946
138	0.10000000000000009	1.5874475468826983	0.07619537196118012	2.0708597735839325	0.4834122267012342
145	0.19999999999999996	1.5993030635385252	0.07547548968614468	2.0715467319326604	0.4722436683941351
151	0.30000000000000004	1.6053556623455214	0.07650207496008012	2.0708469750722878	0.46549131272676636
158	0.3999999999999999	1.6006159604852985	0.07581817113869253	2.0698637008684337	0.4692477403831352
164	0.5	1.6081415586059247	0.07383182312429523	2.067557088678416	0.45941553007249136
170	0.6000000000000001	1.5992226337602735	0.073534524694275	2.0652260929566792	0.46600345919640573
177	0.7000000000000002	1.6023951252180726	0.07302596204376453	2.0599063634294192	0.45751123821134665
183	0.7999999999999998	1.6017733509530936	0.07265497110968044	2.0530267980236823	0.4512534470705887
190	0.8999999999999999	1.5768528928534662	0.07109691216753289	2.036395694232847	0.45954280137938075
196	1.0	1.5484281998299938	0.06867507694897697	2.0129516116708404	0.46452341184084656
202	1.1	1.5019619980420433	0.06583457367622181	1.9809705403899567	0.47900854234791335
209	1.2000000000000002	1.412899086077671	0.06398412195247571	1.9140836729711725	0.5011845868935016
215	1.2999999999999998	1.3055064535031389	0.061587233306371295	1.7911475842994407	0.4856411307963018
222	1.4	1.0281385779112306	0.05840438694144597	1.483545494106479	0.4554069161952483
228	1.5	0.7437495573384078	0.0337530194132791	1.0756377210048085	0.3318881636664007
