# thres	dev	spec	spec_err	nullsp	excess
24	-1.5	1.72131079395044	0.053022262993129905	1.9801968279535442	0.2588860340031043
27	-1.4	1.7469393868356762	0.0515307938876146	1.9891643121292972	0.24222492529362105
30	-1.3	1.7706283103944664	0.049961777102529595	1.9967982399791995	0.22616992958473303
33	-1.2	1.7931546348968708	0.04839350223208968	2.0035284999412215	0.21037386504435074
36	-1.1	1.8143314988897448	0.04667424757220452	2.009741629575766	0.19541013068602142
39	-1.0	1.8325375551320358	0.045036350529110834	2.0151877610685918	0.182650205936556
42	-0.9	1.8496971839892482	0.043397511987293795	2.0201094026381097	0.17041221864886147
45	-0.8	1.8656063265217564	0.041748490144256835	2.0246072850480994	0.159000958526343
48	-0.7	1.8807427608230158	0.040134282538157894	2.0286755779509993	0.14793281712798345
51	-0.6	1.895043947138739	0.038466800520736893	2.0324799376128246	0.1374359904740856
54	-0.5	1.908044660127392	0.036858111733883384	2.035886178622674	0.12784151849528214
56	-0.3999999999999999	1.9161066394870405	0.03577907570263403	2.0379295093017635	0.12182286981472301
59	-0.30000000000000004	1.9264266034209072	0.03434143448198133	2.040637530313061	0.11421092689215362
62	-0.19999999999999996	1.9355530779150514	0.03300267192887675	2.043008574585589	0.10745549667053744
65	-0.10000000000000009	1.9422058807647276	0.03197457719655441	2.044864036966313	0.10265815620158558
68	0.0	1.946819073835477	0.03125466701005181	2.0462028542617077	0.09938378042623075
71	0.10000000000000009	1.9485628732508484	0.03095568316093454	2.0469282207797126	0.09836534752886417
74	0.19999999999999996	1.9469990219989095	0.031182600100177867	2.046946824114054	0.09994780211514454
77	0.30000000000000004	1.941794814218033	0.03194649436442244	2.046248956150423	0.10445414193239011
80	0.3999999999999999	1.9322491745132901	0.03321202366729471	2.044700844620287	0.11245167010699664
82	0.5	1.923929149016085	0.03426038140551783	2.043193683141424	0.11926453412533888
85	0.6000000000000001	1.9078065792843326	0.03618294620671947	2.04011747101782	0.1323108917334872
88	0.7000000000000002	1.8872648427686474	0.03840542208300996	2.036026661955107	0.14876181918645948
91	0.7999999999999998	1.8632030721739001	0.04076340217152475	2.0308404487109044	0.16763737653700428
94	0.8999999999999999	1.833622530535434	0.04321223233391541	2.024189350154646	0.19056681961921207
97	1.0	1.800519880890875	0.045682713466866885	2.015795824181747	0.21527594329087218
100	1.1	1.7620780916048782	0.04788988829330974	2.005188423734878	0.24311033212999966
103	1.2000000000000002	1.7200659157457092	0.04978407391007579	1.9919730737884673	0.2719071580427581
106	1.2999999999999998	1.6742196968552265	0.05109611399922797	1.9747159708308164	0.30049627397558987
109	1.4	1.625699074557903	0.052314165839140586	1.9526845727382627	0.3269854981803597
112	1.5	1.5723099363933184	0.052872069599213346	1.923885717652707	0.3515757812593887
