# thres	dev	spec	spec_err	nullsp	excess
50	-1.5	1.5599133476054445	0.06429770716602579	1.9654912898366492	0.4055779422312047
54	-1.4	1.5880274277011972	0.06508312068540283	1.978839066392009	0.3908116386908118
58	-1.3	1.6121750299134536	0.06506944129726677	1.9902958714502146	0.37812084153676095
62	-1.2	1.6348093990805033	0.06477248317419254	2.0016988738442336	0.36688947476373035
66	-1.1	1.6560796309289632	0.06383200322170074	2.0115699394057556	0.3554903084767924
70	-1.0	1.675280520463626	0.06394605729599863	2.0197825811243435	0.3445020606607174
74	-0.9	1.6961805281350784	0.06275658791605912	2.027299580268911	0.3311190521338325
78	-0.8	1.7142461392890556	0.06205944478004185	2.033958046919601	0.31971190763054524
82	-0.7	1.7333935257480708	0.06155823743793176	2.0403161011978006	0.3069225754497298
86	-0.6	1.746870821332752	0.060673200309231574	2.0456610412214706	0.2987902198887187
90	-0.5	1.7676622983445263	0.059602761819808725	2.0515545615293553	0.2838922631848291
95	-0.3999999999999999	1.7893659753013023	0.058507607115046364	2.0577108150218644	0.2683448397205621
99	-0.30000000000000004	1.8036577329275907	0.05761512586054293	2.0618735158928	0.2582157829652092
103	-0.19999999999999996	1.81736777626792	0.056667923435224296	2.065664468699422	0.248296692431502
107	-0.10000000000000009	1.8296357435348394	0.05582701868897876	2.068888072645465	0.23925232911062566
111	0.0	1.8397654044786227	0.05549448288352457	2.071613546879633	0.23184814240101015
115	0.10000000000000009	1.8515565466327117	0.05446781396672066	2.0734479354061577	0.22189138877344594
119	0.19999999999999996	1.8605081103123204	0.05351911694291871	2.074773092075082	0.21426498176276176
123	0.30000000000000004	1.8644551447833402	0.052913461077302805	2.074914144700816	0.21045899991747574
127	0.3999999999999999	1.8631390422894998	0.052727378212015924	2.074058100478156	0.2109190581886562
132	0.5	1.8596516013828897	0.05296394005808335	2.0705493370310184	0.21089773564812875
136	0.6000000000000001	1.8511642335808218	0.053392075977291044	2.065681733167369	0.2145174995865473
140	0.7000000000000002	1.834680419107961	0.054228832029660376	2.0574694472583466	0.22278902815038548
144	0.7999999999999998	1.8111388534215649	0.054670064360994065	2.0453124493774637	0.23417359595589882
148	0.8999999999999999	1.7815779299007146	0.05611280490748815	2.025806518927447	0.2442285890267324
152	1.0	1.7327195833966416	0.05810957435544402	1.9965025205366276	0.263782937139986
156	1.1	1.6631702127980705	0.060913731319063434	1.9501693507251394	0.2869991379270689
160	1.2000000000000002	1.5760928394977674	0.0643365365312352	1.8883541677667028	0.3122613282689355
164	1.2999999999999998	1.4664553916247327	0.06663845333806988	1.8045905562285722	0.3381351646038395
168	1.4	1.3382263259771896	0.06660833491249073	1.694858891502976	0.3566325655257865
172	1.5	1.201818108037514	0.0656146713200627	1.5664432972367057	0.3646251891991916
