# thres	dev	spec	spec_err	nullsp	excess
6	-1.5	0.739334522193693	0.016730092863648398	0.8772714357076596	0.13793691351396664
12	-1.4	1.1985542229998603	0.040659395016252806	1.6609999335866683	0.46244571058680806
17	-1.3	1.385959989483972	0.04981945472911709	1.8608572469031643	0.4748972574191923
22	-1.2	1.4895697302465982	0.055202180684720936	1.946089422653077	0.4565196924064787
27	-1.1	1.5689615384182234	0.05701241572539668	1.9898902016501887	0.4209286632319653
32	-1.0	1.6331109481017974	0.058071948644928977	2.019751239474233	0.38664029137243583
37	-0.9	1.6710361555555195	0.0587129470605595	2.040810310820105	0.36977415526458524
42	-0.8	1.67054046681451	0.06088491148414986	2.051905519321078	0.3813650525065677
47	-0.7	1.669448102972359	0.061825932967166604	2.0579748053672953	0.38852670239493636
52	-0.6	1.673396068949938	0.06349417460374789	2.061403538082087	0.3880074691321491
58	-0.5	1.685792989909993	0.06287309396814383	2.064228810912001	0.378435821002008
63	-0.3999999999999999	1.6976378544892257	0.06269591489441659	2.0657386762204815	0.3681008217312558
68	-0.30000000000000004	1.7079623697659234	0.06252227560227896	2.0672256374890816	0.3592632677231582
73	-0.19999999999999996	1.7132138508268548	0.06258969909871538	2.0680150081474924	0.35480115732063755
78	-0.10000000000000009	1.7223102783068411	0.06180622232457587	2.0686621883867913	0.34635191007995014
83	0.0	1.7288611612939648	0.061362120254286306	2.068791078063609	0.3399299167696441
88	0.10000000000000009	1.733897739105051	0.06105277084922487	2.0684882610581377	0.3345905219530867
93	0.19999999999999996	1.7351333786107477	0.060787937171878255	2.0682026161929605	0.33306923758221285
98	0.30000000000000004	1.7389425601859327	0.060639799929141334	2.067047260093301	0.32810469990736846
103	0.3999999999999999	1.7390097209930564	0.06062176973220047	2.0653198660672643	0.32631014507420786
108	0.5	1.7361627741592938	0.060360096672611586	2.0628561977442152	0.3266934235849215
114	0.6000000000000001	1.7290230879172925	0.06034684499990711	2.0587517560816258	0.3297286681643332
119	0.7000000000000002	1.7226609774197108	0.06023929439928105	2.054689800285413	0.332028822865702
124	0.7999999999999998	1.717891571915427	0.059633884745285484	2.048442634299637	0.33055106238420984
129	0.8999999999999999	1.7103094747828973	0.05903434991852745	2.040193061409165	0.3298835866262675
134	1.0	1.6951250954830857	0.05807649194925366	2.028445132860764	0.33332003737767857
139	1.1	1.6798014526081264	0.05776480252738037	2.0123525705140457	0.3325511179059193
144	1.2000000000000002	1.643658707885006	0.05763966407170175	1.9901502750119702	0.34649156712696416
149	1.2999999999999998	1.6004427514142596	0.05737650404533438	1.9541329699775263	0.35369021856326666
154	1.4	1.5423430343855133	0.05952210136329257	1.8985630533747406	0.3562200189892273
160	1.5	1.4357240800933897	0.06257276486535847	1.7952905744119414	0.3595664943185517
